date,title,type,mood,content
2025-03-04T16:29:42.634Z,"Denver",Morning,1,"Super tired. Lack of sleep, plus sugary breakfast.  I think i just need a nap honestly."
2025-03-04T02:58:34.570Z,"First! Denver",Evening,Neutral,"So this is cool. I'm quite excited to be using my shiny new website and journal setup. "
